sep=\t	Library Name	Location Name	Call # Begin	Call # End	Image file	Sub-location name	Note display text
!!		Brooklyn Stacks					
#			150.1952	155 T	shelf6.gif	Floor 1	
!!		Brooklyn Stacks					
#			155 T	160 J	shelf7.gif	Floor 1	
!!		Brooklyn Stacks					
#			160 J	190 R	shelf8.gif	Floor 1	
!!		Brooklyn Stacks					
#			190 R	194.9 W	shelf9.gif	Floor 1	
!!		Brooklyn Stacks					
#			194.9 W	230.2 W	shelf10.gif	Floor 1	
!!		Brooklyn Stacks					
#			230.2 W	290 N	shelf11.gif	Floor 1	
!!		Brooklyn Stacks					
#			290 N	299.51 P	shelf12.gif	Floor 1	
!!		Brooklyn Stacks					
#			299.51 P	301.16 T	shelf13.gif	Floor 1	
!!		Brooklyn Stacks					
#			301.16 T	301.402 M	shelf14.gif	Floor 1	
!!		Brooklyn Stacks					
#			301.402 M	301.62 0	shelf15.gif	Floor 1	
!!		Brooklyn Stacks					
#			301. 62 0	304.6	shelf16.gif	Floor 1	
!!		Brooklyn Stacks					
#			304.6	305.89	shelf17.gif	Floor 1	
!!		Brooklyn Stacks					
#			305.89	306.85	shelf18.gif	Floor 1	
!!		Brooklyn Stacks					
#			306.85	307.7609	shelf19.gif	Floor 1	
!!		Brooklyn Stacks					
#			307.7609	309.18	shelf20.gif	Floor 1	
!!		Brooklyn Stacks					
#			309.18	320.94	shelf21.gif	Floor 1	
!!		Brooklyn Stacks					
#			320.94	324.6 K	shelf22.gif	Floor 1	
!!		Brooklyn Stacks					
#			324.6 K	327.73 L	shelf23.gif	Floor 1	
!!		Brooklyn Stacks					
#			327.73 L	330.91732	shelf24.gif	Floor 1	
!!		Brooklyn Stacks					
#			330.91732	331.85 K	shelf25.gif	Floor 1	
!!		Brooklyn Stacks					
#			331.85 K	335 C	shelf26.gif	Floor 1	
!!		Brooklyn Stacks					
#			335 C	338.477 H	shelf27.gif	Floor 1	
!!		Brooklyn Stacks					
#			338.477 H	342.04	shelf28.gif	Floor 1	
!!		Brooklyn Stacks					
#			342.04	353.008	shelf29.gif	Floor 1	
!!		Brooklyn Stacks					
#			353.008	362.293	shelf30.gif	Floor 1	
!!		Brooklyn Stacks					
#			362.293	364.152	shelf31.gif	Floor 1	
!!		Brooklyn Stacks					
#			364.152	371.01 G	shelf32.gif	Floor 1	
!!		Brooklyn Stacks					
#			371.01 G	378.1981 B	shelf33.gif	Floor 1	
!!		Brooklyn Stacks					
#			378.1981 B	388.32	shelf34.gif	Floor 1	
!!		Brooklyn Stacks					
#			388.32	391.0904 F	shelf35.gif	Floor 1	
!!		Brooklyn Stacks					
#			391.0904 F	391.2	shelf36.gif	Floor 1	
!!		Brooklyn Stacks					
#			391.2	398.209	shelf37.gif	Floor 1	
!!		Brooklyn Stacks					
#			398.209	500 B	shelf38.gif	Floor 1	
!!		Brooklyn Stacks					
#			500 B	512.86 S	shelf39.gif	Floor 1	
!!		Brooklyn Stacks					
#			512.86 S	523.112 H	shelf40.gif	Floor 1	
!!		Brooklyn Stacks					
#			523.112 H	535.3 M	shelf41.gif	Floor 1	
!!		Brooklyn Stacks					
#			535.3 M	547.73	shelf42.gif	Floor 1	
!!		Brooklyn Stacks					
#			547.73	574.192	shelf43.gif	Floor 1	
!!		Brooklyn Stacks					
#			574.192	597.8	shelf44.gif	Floor 1	
!!		Brooklyn Stacks					
#			597.8	612.67	shelf45.gif	Floor 1	
!!		Brooklyn Stacks					
#			612.67	616.8914	shelf46.gif	Floor 1	
!!		Brooklyn Stacks					
#			616.8914	620.19	shelf47.gif	Floor 1	
!!		Brooklyn Stacks					
#			620.19	623.823	shelf48.gif	Floor 1	
!!		Brooklyn Stacks					
#			623.823	629.22	shelf49.gif	Floor 1	
!!		Brooklyn Stacks					
#			629.22	642.5 S	shelf50.gif	Floor 1	
!!		Brooklyn Stacks					
#			642.5 S	658.022	shelf51.gif	Floor 1	
!!		Brooklyn Stacks					
#			658.022	658.834	shelf52.gif	Floor 1	
!!		Brooklyn Stacks					
#			658.834	666.4 P	shelf53.gif	Floor 1	
!!		Brooklyn Stacks					
#			666.4 P	686.20903	shelf54.gif	Floor 1	
!!		Brooklyn Stacks					
#			686.20904	690.0973 B	shelf55.gif	Floor 1	
!!		Brooklyn Stacks					
#			690.0973 C	699	shelf56.gif	Floor 1	
!!		Brooklyn Stacks					
#			700 A	701 F	shelf57.gif	Floor 1M	
!!		Brooklyn Stacks					
#			701 F	701.8	shelf58.gif	Floor 1M	
!!		Brooklyn Stacks					
#			701.8	704.042 L	shelf59.gif	Floor 1M	
!!		Brooklyn Stacks					
