sep=\t	Library Name	Location Name	Call # Begin	Call # End	Image file	Sub-location name	Note display text
#			000_000000000000000	999_000000000000000	ref.gif	Floor 1 - reference	
!!		Brooklyn Special Collection Periodicals/Ask at Reference Desk					
#			A	Z	ref.gif	Request this item at the reference desk.
!!		Brooklyn Reserves					
#			000_000000000000000	999_000000000000000	circ.gif	Request this item at the circulation desk.	
!!		Brooklyn Stacks					
#			001_000000000000000	006_000000000000000_5A	shelf1.gif	Floor 1	
!!		Brooklyn Stacks					
#			006_000000000000000_5A	069_028500000000000_C	shelf2.gif	Floor 1	
!!		Brooklyn Stacks					
#			069_028500000000000_C	111_100000000000000_K	shelf3.gif	Floor 1	
!!		Brooklyn Stacks					
#			111_100000000000000_K	136_100000000000000_S	shelf4.gif	Floor 1	
!!		Brooklyn Stacks					
#			136_100000000000000_S	150_195200000000000	shelf5.gif	Floor 1	
!!		Brooklyn Stacks					
#			150_195200000000000	155_000000000000000_T	shelf6.gif	Floor 1	
!!		Brooklyn Stacks					
#			155_000000000000000_T	160_000000000000000_J	shelf7.gif	Floor 1	
!!		Brooklyn Stacks					
#			160_000000000000000_J	190_000000000000000_R	shelf8.gif	Floor 1	
!!		Brooklyn Stacks					
#			190_000000000000000_R	194_900000000000000_W	shelf9.gif	Floor 1	
!!		Brooklyn Stacks					
#			194_900000000000000_W	230_200000000000000_W	shelf10.gif	Floor 1	
!!		Brooklyn Stacks					
#			230_200000000000000_W	290_000000000000000_N	shelf11.gif	Floor 1	
!!		Brooklyn Stacks					
#			290_000000000000000_N	299_510000000000000_P	shelf12.gif	Floor 1	
!!		Brooklyn Stacks					
#			299_510000000000000_P	301_160000000000000_T	shelf13.gif	Floor 1	
!!		Brooklyn Stacks					
#			301_160000000000000_T	301_402000000000000_M	shelf14.gif	Floor 1	
!!		Brooklyn Stacks					
#			301_402000000000000_M	301_620000000000000_0	shelf15.gif	Floor 1	
!!		Brooklyn Stacks					
#			301__620000000000000_0	304_600000000000000	shelf16.gif	Floor 1	
!!		Brooklyn Stacks					
#			304_600000000000000	305_890000000000000	shelf17.gif	Floor 1	
!!		Brooklyn Stacks					
#			305_890000000000000	306_850000000000000	shelf18.gif	Floor 1	
!!		Brooklyn Stacks					
#			306_850000000000000	307_760900000000000	shelf19.gif	Floor 1	
!!		Brooklyn Stacks					
#			307_760900000000000	309_180000000000000	shelf20.gif	Floor 1	
!!		Brooklyn Stacks					
#			309_180000000000000	320_940000000000000	shelf21.gif	Floor 1	
!!		Brooklyn Stacks					
#			320_940000000000000	324_600000000000000_K	shelf22.gif	Floor 1	
!!		Brooklyn Stacks					
#			324_600000000000000_K	327_730000000000000_L	shelf23.gif	Floor 1	
!!		Brooklyn Stacks					
#			327_730000000000000_L	330_917320000000000	shelf24.gif	Floor 1	
!!		Brooklyn Stacks					
#			330_917320000000000	331_850000000000000_K	shelf25.gif	Floor 1	
!!		Brooklyn Stacks					
#			331_850000000000000_K	335_000000000000000_C	shelf26.gif	Floor 1	
!!		Brooklyn Stacks					
#			335_000000000000000_C	338_477000000000000_H	shelf27.gif	Floor 1	
!!		Brooklyn Stacks					
#			338_477000000000000_H	342_040000000000000	shelf28.gif	Floor 1	
!!		Brooklyn Stacks					
#			342_040000000000000	353_008000000000000	shelf29.gif	Floor 1	
!!		Brooklyn Stacks					
#			353_008000000000000	362_293000000000000	shelf30.gif	Floor 1	
!!		Brooklyn Stacks					
#			362_293000000000000	364_152000000000000	shelf31.gif	Floor 1	
!!		Brooklyn Stacks					
#			364_152000000000000	371_010000000000000_G	shelf32.gif	Floor 1	
!!		Brooklyn Stacks					
#			371_010000000000000_G	378_198100000000000_B	shelf33.gif	Floor 1	
!!		Brooklyn Stacks					
#			378_198100000000000_B	388_320000000000000	shelf34.gif	Floor 1	
!!		Brooklyn Stacks					
#			388_320000000000000	391_090400000000000_F	shelf35.gif	Floor 1	
!!		Brooklyn Stacks					
#			391_090400000000000_F	391_200000000000000	shelf36.gif	Floor 1	
!!		Brooklyn Stacks					
#			391_200000000000000	398_209000000000000	shelf37.gif	Floor 1	
!!		Brooklyn Stacks					
#			398_209000000000000	500_000000000000000_B	shelf38.gif	Floor 1	
!!		Brooklyn Stacks					
#			500_000000000000000_B	512_860000000000000_S	shelf39.gif	Floor 1	
!!		Brooklyn Stacks					
#			512_860000000000000_S	523_112000000000000_H	shelf40.gif	Floor 1	
!!		Brooklyn Stacks					
#			523_112000000000000_H	535_300000000000000_M	shelf41.gif	Floor 1	
!!		Brooklyn Stacks					
#			535_300000000000000_M	547_730000000000000	shelf42.gif	Floor 1	
!!		Brooklyn Stacks					
#			547_730000000000000	574_192000000000000	shelf43.gif	Floor 1	
